@@,name,position
---,Stergomena Lawrence Tax,Minister of Defence of Tanzania
---,Samia Suluhu,President of Tanzania
---,Philip Isdory Mpango,Vice President of Tanzania
---,Mwigulu Madelu,Minister of Finance
---,Mohamed Mchengerwa,"Minister of Information, Culture, Arts and Sports"
---,Mashimba Ndaki,Minister of Livestock and Fisheries
---,Makame Mbarawa,"Minister of Works, Transport and Communications"
---,Liberata Mulamula,Minister of Foreign Affairs
---,Kassim Majaliwa,Prime Minister of Tanzania
---,Jumaa Aweso,Minister of Water and Irrigation
---,January Makamba,Minister of Energy
---,Hussein Mwinyi,President of Zanzibar
---,Hussein Bashe,Minister of Agriculture
---,George Simbachawene,Minister of Home Affairs
---,George Simbachawene,Minister of Constitutional and Legal Affairs
---,Geofrey Mwambe,Minister of Investment
---,Eliezer Feleshi,Attorney General of Tanzania
---,Doto Biteko,Minister of Minerals
---,Dorothy Gwajima,Minister of Health
---,Damas Ndumbaro,Minister of Natural Resources and Tourism
---,Angeline Mabula,"Minister of Lands, Housing and Human Settlements Developments"
---,Adolf Mkenda,"Minister of Education, Science, Technology and Vocational Training"
