@@,wdid,name,pid,position
->,Q7881722,Ummy Mwalimu,Q54087259->Q6867121,"Minister of Health, Seniors and Children"
->,Q6738666,Makame Mbarawa,Q59694390->Q14866868,"Minister of Works, Transport and Communications->Minister of Works and Transport"
->,Q6737420,Kassim Majaliwa,Q16147875,Prime Minister of Tanzania->Prime Minister
->,Q5687576,Hazara Pindi Chana->Pindi Chana,Q67203591->Q10970174,Minister of Natural Resources and Tourism
->,Q5018704,Hussein Mwinyi,Q3503632,President of Zanzibar->President
->,Q31752975,Mashimba Ndaki,Q110177753->Q6866604,Minister of Livestock and Fisheries
->,Q31752864,Mohamed Mchengerwa,Q67203620->Q6867194,"Minister of Information, Culture, Arts and Sports->Minister of Culture, Artists and Sports"
->,Q31752753,Mwigulu Nchemba,Q16147337,Minister of Finance->Minister of Finance and Planning
->,Q30090598,Doto Biteko,Q67203604->Q11219003,Minister of Minerals
->,Q30090584,Hussein Bashe,Q54087175->Q6866604,Minister of Agriculture
->,Q27656841,Ashatu Kijaji,Q67284358->Q16151574,"Minister of Industry, Trade & Investment"
->,Q27469212,Angeline Mabula,Q67203615->Q14866850,"Minister of Lands, Housing and Human Settlements Developments->Minister of Lands, Housing and Human Settlements"
->,Q22279305,Philip Isdory Mpango->Philip Mpango,Q19057636->Q3380702,11th Vice-President of Tanzania->Vice President
->,Q16873167,Damas Ndumbaro,Q60688958->Q14866848,Minister of Constitutional and Legal Affairs->Minister of Constitutional Affairs and Justice
->,Q16733431,Nape Nnauye,Q110178688->Q13125253,"Minister of Information, Communication & ICT->Minister of News, Communication & ICT"
->,Q16732979,Liberata Mulamula,Q16147348,"Ministry of Foreign Affairs and East African Cooperation->Minister of Foreign Affairs, E.A.C., Regional and International Cooperation"
->,Q16193890,Stergomena Lawrence Tax->Stergomena Tax,Q54087616->Q14866765,Minister of Defence and National Service
->,Q16193885,Samia Suluhu,Q7241291,President of Tanzania->President
->,Q1612942,January Makamba,Q60076275->Q11219003,Minister of Energy
->,Q110178914,Eliezer Feleshi,Q19850408,Attorney General of Tanzania->Attorney General
->,Q106234674,Dorothy Gwajima,Q110620468->Q6867121,Minister of Community Development & Gender
->,Q101649229,Adolf Mkenda,Q60690257->Q6866868,"Minister of Education, Science, Technology and Vocational Training"
